"b","xL","x_kappa","x_lambda","xU","converged","message"
-1,-1.28442048919316,-0.38563832014256,0.284673881968344,1.07473626630379,TRUE,"Function criterion near zero"
-0.99,-1.2910063013811,-0.393558225737889,0.276903734634787,1.06908072404085,TRUE,"Function criterion near zero"
-0.98,-1.29759829207519,-0.401473762140807,0.26913868433297,1.06344558217414,TRUE,"Function criterion near zero"
-0.97,-1.30419626198798,-0.40938480217075,0.261378859960467,1.0578310319143,TRUE,"Function criterion near zero"
-0.96,-1.31080001286142,-0.41729121909394,0.253624389953412,1.05223726343603,TRUE,"Function criterion near zero"
-0.95,-1.3174093474722,-0.425192886631423,0.245875402278012,1.04666446583431,TRUE,"Function criterion near zero"
-0.94,-1.32402406963717,-0.433089678967327,0.238132024421874,1.04111282707982,TRUE,"Function criterion near zero"
-0.93,-1.33064398421858,-0.440981470757121,0.230394383385274,1.03558253397349,TRUE,"Function criterion near zero"
-0.92,-1.33726889712949,-0.448868137136121,0.222662605672228,1.0300737721003,TRUE,"Function criterion near zero"
-0.91,-1.34389861533902,-0.456749553728065,0.214936817281385,1.0245867257821,TRUE,"Function criterion near zero"
-0.9,-1.35053294687761,-0.464625596653781,0.207217143696952,1.0191215780298,TRUE,"Function criterion near zero"
-0.89,-1.35717170084241,-0.472496142540031,0.199503709879285,1.01367851049458,TRUE,"Function criterion near zero"
-0.88,-1.3638146874025,-0.480361068528491,0.191796640255502,1.00825770341853,TRUE,"Function criterion near zero"
-0.87,-1.37046171780426,-0.488220252284808,0.184096058709805,1.00285933558418,TRUE,"Function criterion near zero"
-0.86,-1.37711260437677,-0.496073572007927,0.176402088573741,0.997483584263586,TRUE,"Function criterion near zero"
-0.85,-1.38376716053711,-0.503920906439287,0.168714852616398,0.992130625166409,TRUE,"Function criterion near zero"
-0.84,-1.39042520079581,-0.511762134872456,0.16103447303428,0.986800632387381,TRUE,"Function criterion near zero"
-0.83,-1.39708654076233,-0.519597137162703,0.153361071441162,0.981493778353057,TRUE,"Function criterion near zero"
-0.82,-1.40375099715055,-0.527425793736737,0.145694768857799,0.976210233767682,TRUE,"Function criterion near zero"
-0.81,-1.41041838778433,-0.53524798560266,0.138035685701415,0.970950167558652,TRUE,"Function criterion near zero"
-0.8,-1.41708853160313,-0.543063594359956,0.130383941775124,0.965713746821053,TRUE,"Function criterion near zero"
-0.79,-1.42376124866764,-0.55087250220964,0.122739656257183,0.960501136761683,TRUE,"Function criterion near zero"
-0.78,-1.4304363601656,-0.558674591964618,0.115102947690087,0.955312500642509,TRUE,"Function criterion near zero"
-0.77,-1.43711368841747,-0.566469747059996,0.107473933969587,0.950147999723339,TRUE,"Function criterion near zero"
-0.76,-1.44379305688244,-0.57425785156378,0.0998527323334402,0.945007793204252,TRUE,"Function criterion near zero"
-0.75,-1.45047429016422,-0.582038790187383,0.0922394593502568,0.939892038167128,TRUE,"Function criterion near zero"
-0.74,-1.4571572140172,-0.589812448296663,0.0846342309077848,0.934800889517059,TRUE,"Function criterion near zero"
-0.73,-1.46384165535238,-0.597578711922578,0.0770371622017324,0.929734499923052,TRUE,"Function criterion near zero"
-0.72,-1.47052744224369,-0.60533746777253,0.0694483677236154,0.924693019758381,TRUE,"Function criterion near zero"
-0.71,-1.47721440393406,-0.613088603241237,0.0618679612494375,0.919676597040698,TRUE,"Function criterion near zero"
-0.7,-1.48390237084187,-0.620832006422296,0.0542960558272639,0.914685377371561,TRUE,"Function criterion near zero"
-0.69,-1.49059117456728,-0.628567566119423,0.0467327637654139,0.909719503875932,TRUE,"Function criterion near zero"
-0.68,-1.4972806478987,-0.636295171858009,0.0391781966202482,0.904779117141291,TRUE,"Function criterion near zero"
-0.67,-1.50397062481934,-0.644014713896716,0.0316324651838754,0.899864355156597,TRUE,"Function criterion near zero"
-0.66,-1.51066094051385,-0.651726083239239,0.024095679471673,0.894975353251118,TRUE,"Function criterion near zero"
-0.65,-1.51735143137498,-0.659429171646023,0.0165679487098231,0.890112244032973,TRUE,"Function criterion near zero"
-0.64,-1.52404193501042,-0.667123871646348,0.00904938132272982,0.885275157328345,TRUE,"Function criterion near zero"
-0.63,-1.53073229024956,-0.674810076550111,0.00154008492031839,0.880464220119524,TRUE,"Function criterion near zero"
-0.62,-1.53742233715048,-0.68248768046007,-0.0059598337148112,0.875679556484342,TRUE,"Function criterion near zero"
-0.61,-1.5441119170069,-0.690156578283916,-0.0134502686401541,0.870921287534765,TRUE,"Function criterion near zero"
-0.6,-1.55080087235517,-0.697816665746488,-0.020931114766321,0.866189531356144,TRUE,"Function criterion near zero"
-0.59,-1.55748904698154,-0.705467839402168,-0.0284022678700294,0.861484402946799,TRUE,"Function criterion near zero"
-0.58,-1.56417628592906,-0.713109996646971,-0.0358636246070569,0.856806014157504,TRUE,"Function criterion near zero"
-0.57,-1.5708624355051,-0.720743035731318,-0.0433150825255069,0.852154473632212,TRUE,"Function criterion near zero"
-0.56,-1.57754734328832,-0.728366855772055,-0.050756540078933,0.847529886748019,TRUE,"Function criterion near zero"
-0.55,-1.58423085813624,-0.735981356765333,-0.0581878966395416,0.842932355557132,TRUE,"Function criterion near zero"
-0.54,-1.59091283019245,-0.743586439598854,-0.0656090525113853,0.838361978728295,TRUE,"Function criterion near zero"
-0.53,-1.597593110894,-0.751182006064477,-0.0730199089436421,0.833818851489521,TRUE,"Function criterion near zero"
-0.52,-1.60427155297874,-0.758767958870611,-0.0804203681438497,0.829303065571039,TRUE,"Function criterion near zero"
-0.51,-1.61094801049309,-0.766344201655242,-0.0878103332913195,0.824814709150471,TRUE,"Function criterion near zero"
-0.5,-1.61762233879894,-0.773910638997722,-0.0951897085499763,0.820353866796813,TRUE,"Function criterion near zero"
